Date	Close AAPL	Pret AAPL	Date	Close SMSM	Pret SMSM_dolar	Date	Pret Indice
10.01.2023	130729996	130.73	May 24, 2022	66500	50.54	Jan 04 2023	3852.97
11.01.2023	133490005	133.49	May 23, 2022	67900	51.6	Jan 05 2023	3808.1
12.01.2023	133410004	133.41	May 20, 2022	68000	51.68	Jan 06 2023	3895.08
13.01.2023	134759995	134.76	May 19, 2022	67500	51.3	Jan 09 2023	3892.09
17.01.2023	135940002	135.94	May 18, 2022	68100	51.76	Jan 10 2023	3919.25
18.01.2023	135210007	135.21	May 17, 2022	67600	51.38	Jan 11 2023	3969.61
19.01.2023	135270004	135.27	May 16, 2022	66300	50.39	Jan 12 2023	3983.17
20.01.2023	137869995	137.87	May 13, 2022	66500	50.54	Jan 13 2023	3999.09
23.01.2023	141110001	141.11	May 12, 2022	64900	49.32	Jan 17 2023	3990.97
24.01.2023	142529999	142.53	May 11, 2022	65700	49.93	Jan 18 2023	3928.86
25.01.2023	141860001	141.86	May 10, 2022	65700	49.93	Jan 19 2023	3898.85
26.01.2023	143960007	143.96	May 06, 2022	66500	50.54	Jan 20 2023	3972.61
27.01.2023	145929993	145.93	May 04, 2022	67900	51.6	Jan 23 2023	4019.81
30.01.2023	143000000	143	May 03, 2022	67500	51.3	Jan 24 2023	4016.95
31.01.2023	144289993	144.29	May 02, 2022	67300	51.15	Jan 25 2023	4016.22
01.02.2023	145429993	145.43	Apr 29, 2022	67400	51.22	Jan 26 2023	4060.43
02.02.2023	150820007	150.82	Apr 28, 2022	64800	49.25	Jan 27 2023	4070.56
03.02.2023	154500000	154.5	Apr 27, 2022	65000	49.4	Jan 30 2023	4017.77
06.02.2023	151729996	151.73	Apr 26, 2022	66100	50.24	Jan 31 2023	4076.6
07.02.2023	154649994	154.65	Apr 25, 2022	66300	50.39	Feb 01 2023	4119.21
08.02.2023	151919998	151.92	Apr 22, 2022	67000	50.92	Feb 02 2023	4179.76
09.02.2023	150869995	150.87	Apr 21, 2022	67700	51.45	Feb 03 2023	4136.48
10.02.2023	151009995	151.01	Apr 20, 2022	67400	51.22	Feb 06 2023	4111.08
13.02.2023	153850006	153.85	Apr 19, 2022	67300	51.15	Feb 07 2023	4164
14.02.2023	153199997	153.2	Apr 18, 2022	66700	50.69	Feb 08 2023	4117.86
15.02.2023	155330002	155.33	Apr 15, 2022	66600	50.62	Feb 09 2023	4081.5
16.02.2023	153710007	153.71	Apr 14, 2022	67500	51.3	Feb 10 2023	4090.46
17.02.2023	152550003	152.55	Apr 13, 2022	68700	52.21	Feb 13 2023	4137.29
21.02.2023	148479996	148.48	Apr 12, 2022	67000	50.92	Feb 14 2023	4136.13
22.02.2023	148910004	148.91	Apr 11, 2022	67900	51.6	Feb 15 2023	4147.6
23.02.2023	149399994	149.4	Apr 08, 2022	67800	51.53	Feb 16 2023	4090.41
24.02.2023	146710007	146.71	Apr 07, 2022	68000	51.68	Feb 17 2023	4079.09
27.02.2023	147919998	147.92	Apr 06, 2022	68500	52.06	Feb 21 2023	3997.34
28.02.2023	147410004	147.41	Apr 05, 2022	69200	52.59	Feb 22 2023	3991.05
01.03.2023	145309998	145.31	Apr 04, 2022	69300	52.67	Feb 23 2023	4012.32
